NeuronA,NeuronB,Relatedness
ADAL,SAAVL,14.0
ADAL,SAAVR,16.0
ADAL,SABD,14.0
ADAL,SABVL,15.0
ADAL,SABVR,17.0
ADAL,SDQL,11.0
ADAL,SDQR,19.0
ADAL,SIADL,14.0
ADAL,SIADR,16.0
ADAL,SIAVL,14.0
ADAL,SIAVR,16.0
ADAL,SIBDL,14.0
ADAL,SIBDR,16.0
ADAL,SIBVL,14.0
ADAL,SIBVR,16.0
ADAL,SMBDL,19.0
ADAL,SMBDR,19.0
ADAL,SMBVL,18.0
ADAL,SMBVR,18.0
ADAL,SMDDL,14.0
ADAL,SMDDR,16.0
ADAL,SMDVL,18.0
ADAL,SMDVR,18.0
ADAL,URADL,12.0
ADAL,URADR,18.0
ADAL,URAVL,14.0
ADAL,URAVR,16.0
ADAL,URBL,12.0
ADAL,URBR,16.0
ADAL,URXL,13.0
ADAL,URXR,19.0
ADAL,URYDL,18.0
ADAL,URYDR,18.0
ADAL,URYVL,14.0
ADAL,URYVR,16.0
ADAL,VA01,17.0
ADAL,VA02,9.0
ADAL,VA03,19.0
ADAL,VA04,13.0
ADAL,VA05,19.0
ADAL,VA06,13.0
ADAL,VA07,19.0
ADAL,VA08,13.0
ADAL,VA09,19.0
ADAL,VA10,11.0
ADAL,VA11,11.0
ADAL,VA12,19.0
ADAL,VB01,19.0
ADAL,VB02,18.0
ADAL,VB03,9.0
ADAL,VB04,19.0
ADAL,VB05,13.0
ADAL,VB06,19.0
ADAL,VB07,13.0
ADAL,VB08,19.0
ADAL,VB09,13.0
ADAL,VB10,19.0
ADAL,VB11,11.0
ADAL,VC01,18.0
ADAL,VC02,12.0
ADAL,VC03,18.0
ADAL,VC04,12.0
ADAL,VC05,18.0
ADAL,VD01,17.0
ADAL,VD02,18.0
ADAL,VD03,8.0
ADAL,VD04,18.0
ADAL,VD05,12.0
ADAL,VD06,18.0
ADAL,VD07,12.0
ADAL,VD08,18.0
ADAL,VD09,12.0
ADAL,VD10,18.0
ADAL,VD11,10.0
ADAL,VD12,10.0
ADAL,VD13,18.0
ADAR,ADEL,17.0
ADAR,ADER,1.0
ADAR,ADFL,18.0
ADAR,ADFR,12.0
ADAR,ADLL,18.0
ADAR,ADLR,12.0
ADAR,AFDL,18.0
ADAR,AFDR,12.0
ADAR,AIAL,16.0
ADAR,AIAR,14.0
ADAR,AIBL,16.0
ADAR,AIBR,12.0
ADAR,AIML,16.0
ADAR,AIMR,14.0
ADAR,AINL,18.0
ADAR,AINR,18.0
ADAR,AIYL,16.0
ADAR,AIYR,14.0
ADAR,AIZL,17.0
ADAR,AIZR,5.0
ADAR,ALA,18.0
ADAR,ALML,18.0
ADAR,ALMR,18.0
ADAR,ALNL,18.0
ADAR,ALNR,10.0
ADAR,AQR,10.0
ADAR,AS01,8.0
ADAR,AS02,18.0
ADAR,AS03,12.0
ADAR,AS04,18.0
ADAR,AS05,12.0
ADAR,AS06,18.0
ADAR,AS07,12.0
ADAR,AS08,18.0
ADAR,AS09,10.0
ADAR,AS10,18.0
ADAR,AS11,18.0
ADAR,ASEL,19.0
ADAR,ASER,13.0
ADAR,ASGL,16.0
ADAR,ASGR,12.0
ADAR,ASHL,16.0
ADAR,ASHR,14.0
ADAR,ASIL,17.0
ADAR,ASIR,13.0
ADAR,ASJL,19.0
ADAR,ASJR,13.0
ADAR,ASKL,19.0
ADAR,ASKR,13.0
ADAR,AUAL,19.0
ADAR,AUAR,13.0
ADAR,AVAL,18.0
ADAR,AVAR,18.0
ADAR,AVBL,16.0
ADAR,AVBR,14.0
ADAR,AVDL,18.0
ADAR,AVDR,18.0
ADAR,AVEL,18.0
ADAR,AVER,12.0
ADAR,AVFL,8.0
ADAR,AVFR,9.0
ADAR,AVG,14.0
ADAR,AVHL,18.0
ADAR,AVHR,18.0
ADAR,AVJL,18.0
ADAR,AVJR,18.0
ADAR,AVKL,16.0
ADAR,AVKR,14.0
ADAR,AVL,14.0
ADAR,AVM,11.0
ADAR,AWAL,16.0
ADAR,AWAR,12.0
ADAR,AWBL,18.0
ADAR,AWBR,12.0
ADAR,AWCL,16.0
ADAR,AWCR,14.0
ADAR,BAGL,18.0
ADAR,BAGR,18.0
ADAR,BDUL,18.0
ADAR,BDUR,18.0
ADAR,CEPDL,17.0
ADAR,CEPDR,19.0
ADAR,CEPVL,17.0
ADAR,CEPVR,15.0
ADAR,DA01,14.0
ADAR,DA02,16.0
ADAR,DA03,14.0
ADAR,DA04,16.0
ADAR,DA05,14.0
ADAR,DA06,16.0
ADAR,DA07,14.0
ADAR,DA08,14.0
ADAR,DA09,16.0
ADAR,DB01,16.0
ADAR,DB02,18.0
ADAR,DB03,14.0
ADAR,DB04,14.0
ADAR,DB05,16.0
ADAR,DB06,16.0
ADAR,DB07,14.0
ADAR,DD01,16.0
ADAR,DD02,14.0
ADAR,DD03,16.0
ADAR,DD04,14.0
ADAR,DD05,16.0
ADAR,DD06,14.0
ADAR,DVA,14.0
ADAR,DVB,17.0
ADAR,DVC,18.0
ADAR,FLPL,17.0
ADAR,FLPR,5.0
ADAR,HSNL,17.0
ADAR,HSNR,11.0
ADAR,IL1DL,19.0
ADAR,IL1DR,19.0
ADAR,IL1L,19.0
ADAR,IL1R,19.0
ADAR,IL1VL,19.0
ADAR,IL1VR,19.0
ADAR,IL2DL,18.0
ADAR,IL2DR,18.0
ADAR,IL2L,18.0
ADAR,IL2R,18.0
ADAR,IL2VL,18.0
ADAR,IL2VR,18.0
ADAR,LUAL,17.0
ADAR,LUAR,15.0
ADAR,OLLL,19.0
ADAR,OLLR,13.0
ADAR,OLQDL,19.0
ADAR,OLQDR,19.0
ADAR,OLQVL,17.0
ADAR,OLQVR,15.0
ADAR,PDA,14.0
ADAR,PDB,10.0
ADAR,PDEL,20.0
ADAR,PDER,12.0
ADAR,PHAL,16.0
ADAR,PHAR,14.0
ADAR,PHBL,17.0
ADAR,PHBR,11.0
ADAR,PHCL,20.0
ADAR,PHCR,14.0
ADAR,PLML,18.0
ADAR,PLMR,10.0
ADAR,PLNL,20.0
ADAR,PLNR,14.0
ADAR,PQR,18.0
ADAR,PVCL,17.0
ADAR,PVCR,15.0
ADAR,PVDL,21.0
ADAR,PVDR,13.0
ADAR,PVM,19.0
ADAR,PVNL,19.0
ADAR,PVNR,13.0
ADAR,PVPL,16.0
ADAR,PVPR,14.0
ADAR,PVQL,16.0
ADAR,PVQR,10.0
ADAR,PVR,18.0
ADAR,PVT,16.0
ADAR,PVWL,18.0
ADAR,PVWR,12.0
ADAR,RIAL,18.0
ADAR,RIAR,18.0
ADAR,RIBL,16.0
ADAR,RIBR,14.0
ADAR,RICL,17.0
ADAR,RICR,15.0
ADAR,RID,18.0
ADAR,RIFL,17.0
