NeuronA,NeuronB,Relatedness
ASGL,URYDL,17.0
ASGL,URYDR,17.0
ASGL,URYVL,13.0
ASGL,URYVR,15.0
ASGL,VA01,16.0
ASGL,VA02,14.0
ASGL,VA03,18.0
ASGL,VA04,14.0
ASGL,VA05,18.0
ASGL,VA06,14.0
ASGL,VA07,18.0
ASGL,VA08,14.0
ASGL,VA09,18.0
ASGL,VA10,14.0
ASGL,VA11,14.0
ASGL,VA12,18.0
ASGL,VB01,18.0
ASGL,VB02,17.0
ASGL,VB03,14.0
ASGL,VB04,18.0
ASGL,VB05,14.0
ASGL,VB06,18.0
ASGL,VB07,14.0
ASGL,VB08,18.0
ASGL,VB09,14.0
ASGL,VB10,18.0
ASGL,VB11,14.0
ASGL,VC01,17.0
ASGL,VC02,13.0
ASGL,VC03,17.0
ASGL,VC04,13.0
ASGL,VC05,17.0
ASGL,VD01,16.0
ASGL,VD02,17.0
ASGL,VD03,13.0
ASGL,VD04,17.0
ASGL,VD05,13.0
ASGL,VD06,17.0
ASGL,VD07,13.0
ASGL,VD08,17.0
ASGL,VD09,13.0
ASGL,VD10,17.0
ASGL,VD11,13.0
ASGL,VD12,13.0
ASGL,VD13,17.0
ASGR,ASHL,15.0
ASGR,ASHR,13.0
ASGR,ASIL,16.0
ASGR,ASIR,4.0
ASGR,ASJL,18.0
ASGR,ASJR,10.0
ASGR,ASKL,18.0
ASGR,ASKR,10.0
ASGR,AUAL,18.0
ASGR,AUAR,10.0
ASGR,AVAL,17.0
ASGR,AVAR,17.0
ASGR,AVBL,15.0
ASGR,AVBR,13.0
ASGR,AVDL,17.0
ASGR,AVDR,17.0
ASGR,AVEL,17.0
ASGR,AVER,9.0
ASGR,AVFL,13.0
ASGR,AVFR,14.0
ASGR,AVG,13.0
ASGR,AVHL,17.0
ASGR,AVHR,17.0
ASGR,AVJL,17.0
ASGR,AVJR,17.0
ASGR,AVKL,15.0
ASGR,AVKR,13.0
ASGR,AVL,13.0
ASGR,AVM,14.0
ASGR,AWAL,15.0
ASGR,AWAR,1.0
ASGR,AWBL,17.0
ASGR,AWBR,9.0
ASGR,AWCL,15.0
ASGR,AWCR,13.0
ASGR,BAGL,17.0
ASGR,BAGR,17.0
ASGR,BDUL,17.0
ASGR,BDUR,17.0
ASGR,CEPDL,16.0
ASGR,CEPDR,18.0
ASGR,CEPVL,16.0
ASGR,CEPVR,14.0
ASGR,DA01,13.0
ASGR,DA02,15.0
ASGR,DA03,13.0
ASGR,DA04,15.0
ASGR,DA05,13.0
ASGR,DA06,15.0
ASGR,DA07,13.0
ASGR,DA08,13.0
ASGR,DA09,15.0
ASGR,DB01,15.0
ASGR,DB02,17.0
ASGR,DB03,13.0
ASGR,DB04,13.0
ASGR,DB05,15.0
ASGR,DB06,15.0
ASGR,DB07,13.0
ASGR,DD01,15.0
ASGR,DD02,13.0
ASGR,DD03,15.0
ASGR,DD04,13.0
ASGR,DD05,15.0
ASGR,DD06,13.0
ASGR,DVA,13.0
ASGR,DVB,16.0
ASGR,DVC,17.0
ASGR,FLPL,16.0
ASGR,FLPR,12.0
ASGR,HSNL,16.0
ASGR,HSNR,12.0
ASGR,IL1DL,18.0
ASGR,IL1DR,18.0
ASGR,IL1L,18.0
ASGR,IL1R,18.0
ASGR,IL1VL,18.0
ASGR,IL1VR,18.0
ASGR,IL2DL,17.0
ASGR,IL2DR,17.0
ASGR,IL2L,17.0
ASGR,IL2R,17.0
ASGR,IL2VL,17.0
ASGR,IL2VR,17.0
ASGR,LUAL,16.0
ASGR,LUAR,14.0
ASGR,OLLL,18.0
ASGR,OLLR,10.0
ASGR,OLQDL,18.0
ASGR,OLQDR,18.0
ASGR,OLQVL,16.0
ASGR,OLQVR,14.0
ASGR,PDA,13.0
ASGR,PDB,13.0
ASGR,PDEL,19.0
ASGR,PDER,15.0
ASGR,PHAL,15.0
ASGR,PHAR,13.0
ASGR,PHBL,16.0
ASGR,PHBR,12.0
ASGR,PHCL,19.0
ASGR,PHCR,15.0
ASGR,PLML,17.0
ASGR,PLMR,13.0
ASGR,PLNL,19.0
ASGR,PLNR,15.0
ASGR,PQR,17.0
ASGR,PVCL,16.0
ASGR,PVCR,14.0
ASGR,PVDL,20.0
ASGR,PVDR,16.0
ASGR,PVM,18.0
ASGR,PVNL,18.0
ASGR,PVNR,14.0
ASGR,PVPL,15.0
ASGR,PVPR,13.0
ASGR,PVQL,15.0
ASGR,PVQR,11.0
ASGR,PVR,17.0
ASGR,PVT,15.0
ASGR,PVWL,17.0
ASGR,PVWR,13.0
ASGR,RIAL,17.0
ASGR,RIAR,17.0
ASGR,RIBL,15.0
ASGR,RIBR,13.0
ASGR,RICL,16.0
ASGR,RICR,14.0
ASGR,RID,17.0
ASGR,RIFL,16.0
ASGR,RIFR,14.0
ASGR,RIGL,15.0
ASGR,RIGR,13.0
ASGR,RIH,13.0
ASGR,RIML,15.0
ASGR,RIMR,13.0
ASGR,RIPL,17.0
ASGR,RIPR,11.0
ASGR,RIR,13.0
ASGR,RIS,13.0
ASGR,RIVL,15.0
ASGR,RIVR,13.0
ASGR,RMDDL,17.0
ASGR,RMDDR,17.0
ASGR,RMDL,17.0
ASGR,RMDR,9.0
ASGR,RMDVL,17.0
ASGR,RMDVR,17.0
ASGR,RMED,17.0
ASGR,RMEL,17.0
ASGR,RMER,17.0
ASGR,RMEV,15.0
ASGR,RMFL,16.0
ASGR,RMFR,16.0
ASGR,RMGL,15.0
ASGR,RMGR,11.0
ASGR,RMHL,14.0
ASGR,RMHR,14.0
ASGR,SAADL,17.0
ASGR,SAADR,17.0
ASGR,SAAVL,15.0
ASGR,SAAVR,13.0
ASGR,SABD,15.0
ASGR,SABVL,16.0
ASGR,SABVR,14.0
ASGR,SDQL,18.0
ASGR,SDQR,14.0
ASGR,SIADL,15.0
ASGR,SIADR,13.0
ASGR,SIAVL,15.0
ASGR,SIAVR,13.0
ASGR,SIBDL,15.0
ASGR,SIBDR,13.0
ASGR,SIBVL,15.0
ASGR,SIBVR,13.0
ASGR,SMBDL,18.0
ASGR,SMBDR,18.0
ASGR,SMBVL,17.0
ASGR,SMBVR,17.0
ASGR,SMDDL,15.0
ASGR,SMDDR,13.0
ASGR,SMDVL,17.0
ASGR,SMDVR,17.0
ASGR,URADL,15.0
ASGR,URADR,17.0
ASGR,URAVL,15.0
ASGR,URAVR,13.0
ASGR,URBL,15.0
ASGR,URBR,5.0
ASGR,URXL,16.0
ASGR,URXR,18.0
ASGR,URYDL,17.0
ASGR,URYDR,17.0
ASGR,URYVL,15.0
ASGR,URYVR,13.0
ASGR,VA01,12.0
ASGR,VA02,18.0
ASGR,VA03,14.0
ASGR,VA04,18.0
ASGR,VA05,14.0
ASGR,VA06,18.0
ASGR,VA07,14.0
ASGR,VA08,18.0
ASGR,VA09,14.0
ASGR,VA10,18.0
ASGR,VA11,18.0
ASGR,VA12,14.0
ASGR,VB01,14.0
ASGR,VB02,13.0
ASGR,VB03,18.0
ASGR,VB04,14.0
ASGR,VB05,18.0
ASGR,VB06,14.0
ASGR,VB07,18.0
ASGR,VB08,14.0
ASGR,VB09,18.0
ASGR,VB10,14.0
ASGR,VB11,18.0
ASGR,VC01,13.0
ASGR,VC02,17.0
ASGR,VC03,13.0
ASGR,VC04,17.0
ASGR,VC05,13.0
ASGR,VD01,12.0
ASGR,VD02,13.0
ASGR,VD03,17.0
ASGR,VD04,13.0
ASGR,VD05,17.0
ASGR,VD06,13.0
ASGR,VD07,17.0
ASGR,VD08,13.0
ASGR,VD09,17.0
ASGR,VD10,13.0
ASGR,VD11,17.0
ASGR,VD12,17.0
ASGR,VD13,13.0
ASHL,ASHR,15.0
ASHL,ASIL,14.0
ASHL,ASIR,16.0
ASHL,ASJL,18.0
ASHL,ASJR,16.0
ASHL,ASKL,18.0
ASHL,ASKR,16.0
ASHL,AUAL,18.0
ASHL,AUAR,16.0
ASHL,AVAL,17.0
ASHL,AVAR,17.0
ASHL,AVBL,5.0
ASHL,AVBR,15.0
ASHL,AVDL,17.0
ASHL,AVDR,17.0
ASHL,AVEL,17.0
ASHL,AVER,15.0
ASHL,AVFL,17.0
ASHL,AVFR,18.0
ASHL,AVG,15.0
ASHL,AVHL,17.0
ASHL,AVHR,17.0
ASHL,AVJL,17.0
ASHL,AVJR,17.0
ASHL,AVKL,9.0
ASHL,AVKR,15.0
ASHL,AVL,15.0
ASHL,AVM,18.0
ASHL,AWAL,13.0
ASHL,AWAR,15.0
ASHL,AWBL,17.0
ASHL,AWBR,15.0
ASHL,AWCL,7.0
ASHL,AWCR,15.0
ASHL,BAGL,17.0
ASHL,BAGR,17.0
ASHL,BDUL,17.0
ASHL,BDUR,17.0
ASHL,CEPDL,14.0
ASHL,CEPDR,18.0
ASHL,CEPVL,4.0
ASHL,CEPVR,16.0
ASHL,DA01,15.0
ASHL,DA02,11.0
ASHL,DA03,15.0
ASHL,DA04,11.0
ASHL,DA05,15.0
ASHL,DA06,11.0
ASHL,DA07,15.0
ASHL,DA08,15.0
ASHL,DA09,11.0
ASHL,DB01,7.0
ASHL,DB02,17.0
ASHL,DB03,15.0
ASHL,DB04,15.0
ASHL,DB05,9.0
ASHL,DB06,11.0
ASHL,DB07,15.0
ASHL,DD01,11.0
ASHL,DD02,15.0
ASHL,DD03,11.0
ASHL,DD04,15.0
ASHL,DD05,11.0
ASHL,DD06,15.0
ASHL,DVA,15.0
ASHL,DVB,10.0
ASHL,DVC,17.0
ASHL,FLPL,14.0
ASHL,FLPR,16.0
ASHL,HSNL,14.0
ASHL,HSNR,16.0
ASHL,IL1DL,18.0
ASHL,IL1DR,18.0
ASHL,IL1L,18.0
ASHL,IL1R,18.0
ASHL,IL1VL,18.0
ASHL,IL1VR,18.0
ASHL,IL2DL,17.0
ASHL,IL2DR,17.0
ASHL,IL2L,17.0
ASHL,IL2R,17.0
ASHL,IL2VL,17.0
ASHL,IL2VR,17.0
ASHL,LUAL,12.0
ASHL,LUAR,16.0
ASHL,OLLL,18.0
ASHL,OLLR,16.0
ASHL,OLQDL,18.0
ASHL,OLQDR,18.0
ASHL,OLQVL,8.0
ASHL,OLQVR,16.0
ASHL,PDA,15.0
ASHL,PDB,17.0
ASHL,PDEL,17.0
ASHL,PDER,19.0
ASHL,PHAL,11.0
ASHL,PHAR,15.0
ASHL,PHBL,14.0
ASHL,PHBR,16.0
ASHL,PHCL,17.0
ASHL,PHCR,19.0
ASHL,PLML,15.0
ASHL,PLMR,17.0
ASHL,PLNL,17.0
ASHL,PLNR,19.0
ASHL,PQR,15.0
ASHL,PVCL,12.0
ASHL,PVCR,16.0
ASHL,PVDL,18.0
ASHL,PVDR,20.0
ASHL,PVM,16.0
ASHL,PVNL,16.0
ASHL,PVNR,18.0
ASHL,PVPL,11.0
ASHL,PVPR,15.0
ASHL,PVQL,13.0
ASHL,PVQR,15.0
ASHL,PVR,17.0
ASHL,PVT,9.0
ASHL,PVWL,15.0
ASHL,PVWR,17.0
ASHL,RIAL,17.0
ASHL,RIAR,17.0
ASHL,RIBL,1.0
ASHL,RIBR,15.0
ASHL,RICL,12.0
ASHL,RICR,16.0
ASHL,RID,17.0
ASHL,RIFL,12.0
ASHL,RIFR,16.0
ASHL,RIGL,11.0
ASHL,RIGR,15.0
ASHL,RIH,15.0
ASHL,RIML,11.0
ASHL,RIMR,15.0
ASHL,RIPL,17.0
ASHL,RIPR,15.0
ASHL,RIR,15.0
ASHL,RIS,15.0
ASHL,RIVL,5.0
ASHL,RIVR,15.0
ASHL,RMDDL,17.0
ASHL,RMDDR,17.0
ASHL,RMDL,17.0
ASHL,RMDR,15.0
ASHL,RMDVL,17.0
ASHL,RMDVR,17.0
ASHL,RMED,17.0
ASHL,RMEL,17.0
ASHL,RMER,17.0
ASHL,RMEV,9.0
ASHL,RMFL,14.0
ASHL,RMFR,14.0
ASHL,RMGL,13.0
ASHL,RMGR,15.0
ASHL,RMHL,16.0
ASHL,RMHR,16.0
ASHL,SAADL,17.0
ASHL,SAADR,17.0
ASHL,SAAVL,7.0
ASHL,SAAVR,15.0
ASHL,SABD,11.0
ASHL,SABVL,12.0
ASHL,SABVR,16.0
ASHL,SDQL,16.0
ASHL,SDQR,18.0
ASHL,SIADL,9.0
ASHL,SIADR,15.0
ASHL,SIAVL,9.0
ASHL,SIAVR,15.0
ASHL,SIBDL,11.0
ASHL,SIBDR,15.0
ASHL,SIBVL,9.0
ASHL,SIBVR,15.0
ASHL,SMBDL,18.0
ASHL,SMBDR,18.0
ASHL,SMBVL,17.0
ASHL,SMBVR,17.0
ASHL,SMDDL,9.0
ASHL,SMDDR,15.0
ASHL,SMDVL,17.0
ASHL,SMDVR,17.0
ASHL,URADL,13.0
ASHL,URADR,17.0
ASHL,URAVL,7.0
ASHL,URAVR,15.0
ASHL,URBL,13.0
ASHL,URBR,15.0
ASHL,URXL,14.0
ASHL,URXR,18.0
ASHL,URYDL,17.0
ASHL,URYDR,17.0
ASHL,URYVL,7.0
ASHL,URYVR,15.0
ASHL,VA01,16.0
ASHL,VA02,16.0
ASHL,VA03,18.0
ASHL,VA04,16.0
ASHL,VA05,18.0
ASHL,VA06,16.0
ASHL,VA07,18.0
ASHL,VA08,16.0
ASHL,VA09,18.0
ASHL,VA10,16.0
ASHL,VA11,16.0
ASHL,VA12,18.0
ASHL,VB01,18.0
ASHL,VB02,17.0
ASHL,VB03,16.0
ASHL,VB04,18.0
ASHL,VB05,16.0
ASHL,VB06,18.0
ASHL,VB07,16.0
ASHL,VB08,18.0
ASHL,VB09,16.0
ASHL,VB10,18.0
ASHL,VB11,16.0
ASHL,VC01,17.0
ASHL,VC02,15.0
ASHL,VC03,17.0
ASHL,VC04,15.0
ASHL,VC05,17.0
ASHL,VD01,16.0
ASHL,VD02,17.0
ASHL,VD03,15.0
ASHL,VD04,17.0
ASHL,VD05,15.0
ASHL,VD06,17.0
ASHL,VD07,15.0
ASHL,VD08,17.0
ASHL,VD09,15.0
ASHL,VD10,17.0
ASHL,VD11,15.0
ASHL,VD12,15.0
ASHL,VD13,17.0
ASHR,ASIL,16.0
ASHR,ASIR,14.0
ASHR,ASJL,18.0
ASHR,ASJR,14.0
ASHR,ASKL,18.0
ASHR,ASKR,14.0
ASHR,AUAL,18.0
ASHR,AUAR,14.0
ASHR,AVAL,17.0
ASHR,AVAR,17.0
ASHR,AVBL,15.0
ASHR,AVBR,5.0
ASHR,AVDL,17.0
ASHR,AVDR,17.0
ASHR,AVEL,17.0
ASHR,AVER,13.0
ASHR,AVFL,15.0
ASHR,AVFR,16.0
ASHR,AVG,9.0
ASHR,AVHL,17.0
ASHR,AVHR,17.0
ASHR,AVJL,17.0
ASHR,AVJR,17.0
ASHR,AVKL,15.0
ASHR,AVKR,9.0
ASHR,AVL,9.0
ASHR,AVM,16.0
ASHR,AWAL,15.0
ASHR,AWAR,13.0
ASHR,AWBL,17.0
ASHR,AWBR,13.0
ASHR,AWCL,15.0
ASHR,AWCR,7.0
ASHR,BAGL,17.0
ASHR,BAGR,17.0
ASHR,BDUL,17.0
ASHR,BDUR,17.0
ASHR,CEPDL,16.0
ASHR,CEPDR,18.0
ASHR,CEPVL,16.0
ASHR,CEPVR,4.0
ASHR,DA01,11.0
ASHR,DA02,15.0
ASHR,DA03,11.0
ASHR,DA04,15.0
ASHR,DA05,11.0
ASHR,DA06,15.0
ASHR,DA07,11.0
ASHR,DA08,9.0
ASHR,DA09,15.0
ASHR,DB01,15.0
ASHR,DB02,17.0
ASHR,DB03,7.0
ASHR,DB04,9.0
ASHR,DB05,15.0
ASHR,DB06,15.0
ASHR,DB07,11.0
ASHR,DD01,15.0
ASHR,DD02,11.0
ASHR,DD03,15.0
ASHR,DD04,11.0
ASHR,DD05,15.0
ASHR,DD06,11.0
ASHR,DVA,11.0
ASHR,DVB,16.0
ASHR,DVC,17.0
ASHR,FLPL,16.0
ASHR,FLPR,14.0
ASHR,HSNL,16.0
ASHR,HSNR,14.0
ASHR,IL1DL,18.0
ASHR,IL1DR,18.0
ASHR,IL1L,18.0
ASHR,IL1R,18.0
ASHR,IL1VL,18.0
ASHR,IL1VR,18.0
ASHR,IL2DL,17.0
ASHR,IL2DR,17.0
ASHR,IL2L,17.0
ASHR,IL2R,17.0
ASHR,IL2VL,17.0
ASHR,IL2VR,17.0
ASHR,LUAL,16.0
ASHR,LUAR,12.0
ASHR,OLLL,18.0
ASHR,OLLR,14.0
ASHR,OLQDL,18.0
ASHR,OLQDR,18.0
ASHR,OLQVL,16.0
ASHR,OLQVR,8.0
ASHR,PDA,11.0
ASHR,PDB,15.0
ASHR,PDEL,19.0
ASHR,PDER,17.0
ASHR,PHAL,15.0
ASHR,PHAR,11.0
ASHR,PHBL,16.0
ASHR,PHBR,14.0
ASHR,PHCL,19.0
ASHR,PHCR,17.0
ASHR,PLML,17.0
ASHR,PLMR,15.0
ASHR,PLNL,19.0
ASHR,PLNR,17.0
ASHR,PQR,17.0
ASHR,PVCL,16.0
ASHR,PVCR,12.0
ASHR,PVDL,20.0
ASHR,PVDR,18.0
ASHR,PVM,18.0
ASHR,PVNL,18.0
ASHR,PVNR,16.0
ASHR,PVPL,15.0
ASHR,PVPR,11.0
ASHR,PVQL,15.0
ASHR,PVQR,13.0
ASHR,PVR,17.0
ASHR,PVT,15.0
ASHR,PVWL,17.0
ASHR,PVWR,15.0
ASHR,RIAL,17.0
ASHR,RIAR,17.0
ASHR,RIBL,15.0
ASHR,RIBR,1.0
ASHR,RICL,16.0
ASHR,RICR,12.0
ASHR,RID,17.0
ASHR,RIFL,16.0
ASHR,RIFR,12.0
ASHR,RIGL,15.0
ASHR,RIGR,11.0
ASHR,RIH,9.0
ASHR,RIML,15.0
ASHR,RIMR,11.0
ASHR,RIPL,17.0
ASHR,RIPR,13.0
ASHR,RIR,9.0
ASHR,RIS,9.0
ASHR,RIVL,15.0
ASHR,RIVR,5.0
ASHR,RMDDL,17.0
ASHR,RMDDR,17.0
ASHR,RMDL,17.0
ASHR,RMDR,13.0
ASHR,RMDVL,17.0
ASHR,RMDVR,17.0
ASHR,RMED,17.0
ASHR,RMEL,17.0
ASHR,RMER,17.0
ASHR,RMEV,15.0
ASHR,RMFL,16.0
ASHR,RMFR,16.0
ASHR,RMGL,15.0
ASHR,RMGR,13.0
ASHR,RMHL,8.0
ASHR,RMHR,8.0
ASHR,SAADL,17.0
ASHR,SAADR,17.0
ASHR,SAAVL,15.0
ASHR,SAAVR,7.0
ASHR,SABD,15.0
ASHR,SABVL,16.0
ASHR,SABVR,12.0
ASHR,SDQL,18.0
ASHR,SDQR,16.0
ASHR,SIADL,15.0
ASHR,SIADR,9.0
ASHR,SIAVL,15.0
ASHR,SIAVR,9.0
ASHR,SIBDL,15.0
ASHR,SIBDR,11.0
ASHR,SIBVL,15.0
ASHR,SIBVR,9.0
ASHR,SMBDL,18.0
ASHR,SMBDR,18.0
ASHR,SMBVL,17.0
ASHR,SMBVR,17.0
ASHR,SMDDL,15.0
ASHR,SMDDR,9.0
ASHR,SMDVL,17.0
ASHR,SMDVR,17.0
ASHR,URADL,15.0
ASHR,URADR,17.0
ASHR,URAVL,15.0
ASHR,URAVR,7.0
ASHR,URBL,15.0
ASHR,URBR,13.0
ASHR,URXL,16.0
ASHR,URXR,18.0
ASHR,URYDL,17.0
ASHR,URYDR,17.0
ASHR,URYVL,15.0
ASHR,URYVR,7.0
ASHR,VA01,14.0
ASHR,VA02,18.0
ASHR,VA03,16.0
ASHR,VA04,18.0
ASHR,VA05,16.0
ASHR,VA06,18.0
ASHR,VA07,16.0
ASHR,VA08,18.0
ASHR,VA09,16.0
ASHR,VA10,18.0
ASHR,VA11,18.0
ASHR,VA12,16.0
ASHR,VB01,16.0
ASHR,VB02,15.0
ASHR,VB03,18.0
ASHR,VB04,16.0
ASHR,VB05,18.0
ASHR,VB06,16.0
ASHR,VB07,18.0
ASHR,VB08,16.0
ASHR,VB09,18.0
ASHR,VB10,16.0
ASHR,VB11,18.0
ASHR,VC01,15.0
ASHR,VC02,17.0
ASHR,VC03,15.0
ASHR,VC04,17.0
ASHR,VC05,15.0
ASHR,VD01,14.0
ASHR,VD02,15.0
ASHR,VD03,17.0
ASHR,VD04,15.0
ASHR,VD05,17.0
ASHR,VD06,15.0
ASHR,VD07,17.0
ASHR,VD08,15.0
ASHR,VD09,17.0
ASHR,VD10,15.0
ASHR,VD11,17.0
ASHR,VD12,17.0
ASHR,VD13,15.0
ASIL,ASIR,17.0
ASIL,ASJL,19.0
ASIL,ASJR,17.0
ASIL,ASKL,19.0
ASIL,ASKR,17.0
ASIL,AUAL,19.0
ASIL,AUAR,17.0
ASIL,AVAL,18.0
ASIL,AVAR,18.0
ASIL,AVBL,14.0
ASIL,AVBR,16.0
ASIL,AVDL,18.0
ASIL,AVDR,18.0
ASIL,AVEL,18.0
ASIL,AVER,16.0
ASIL,AVFL,18.0
ASIL,AVFR,19.0
ASIL,AVG,16.0
ASIL,AVHL,18.0
ASIL,AVHR,18.0
ASIL,AVJL,18.0
ASIL,AVJR,18.0
ASIL,AVKL,14.0
ASIL,AVKR,16.0
ASIL,AVL,16.0
ASIL,AVM,19.0
ASIL,AWAL,4.0
ASIL,AWAR,16.0
ASIL,AWBL,18.0
ASIL,AWBR,16.0
ASIL,AWCL,14.0
ASIL,AWCR,16.0
ASIL,BAGL,18.0
ASIL,BAGR,18.0
ASIL,BDUL,18.0
ASIL,BDUR,18.0
ASIL,CEPDL,11.0
ASIL,CEPDR,19.0
ASIL,CEPVL,15.0
ASIL,CEPVR,17.0
ASIL,DA01,16.0
ASIL,DA02,14.0
ASIL,DA03,16.0
ASIL,DA04,14.0
ASIL,DA05,16.0
ASIL,DA06,14.0
ASIL,DA07,16.0
ASIL,DA08,16.0
ASIL,DA09,14.0
ASIL,DB01,14.0
ASIL,DB02,18.0
ASIL,DB03,16.0
ASIL,DB04,16.0
ASIL,DB05,14.0
ASIL,DB06,14.0
ASIL,DB07,16.0
ASIL,DD01,14.0
ASIL,DD02,16.0
ASIL,DD03,14.0
ASIL,DD04,16.0
ASIL,DD05,14.0
ASIL,DD06,16.0
ASIL,DVA,16.0
ASIL,DVB,15.0
ASIL,DVC,18.0
ASIL,FLPL,13.0
ASIL,FLPR,17.0
ASIL,HSNL,13.0
ASIL,HSNR,17.0
ASIL,IL1DL,19.0
ASIL,IL1DR,19.0
ASIL,IL1L,19.0
ASIL,IL1R,19.0
ASIL,IL1VL,19.0
ASIL,IL1VR,19.0
ASIL,IL2DL,18.0
ASIL,IL2DR,18.0
ASIL,IL2L,18.0
ASIL,IL2R,18.0
ASIL,IL2VL,18.0
ASIL,IL2VR,18.0
ASIL,LUAL,15.0
ASIL,LUAR,17.0
ASIL,OLLL,19.0
ASIL,OLLR,17.0
ASIL,OLQDL,19.0
ASIL,OLQDR,19.0
ASIL,OLQVL,15.0
ASIL,OLQVR,17.0
ASIL,PDA,16.0
ASIL,PDB,18.0
ASIL,PDEL,16.0
ASIL,PDER,20.0
ASIL,PHAL,14.0
ASIL,PHAR,16.0
ASIL,PHBL,13.0
ASIL,PHBR,17.0
ASIL,PHCL,16.0
ASIL,PHCR,20.0
ASIL,PLML,14.0
ASIL,PLMR,18.0
ASIL,PLNL,16.0
ASIL,PLNR,20.0
ASIL,PQR,14.0
ASIL,PVCL,15.0
ASIL,PVCR,17.0
ASIL,PVDL,17.0
ASIL,PVDR,21.0
ASIL,PVM,15.0
ASIL,PVNL,15.0
ASIL,PVNR,19.0
ASIL,PVPL,14.0
ASIL,PVPR,16.0
ASIL,PVQL,12.0
ASIL,PVQR,16.0
ASIL,PVR,18.0
ASIL,PVT,14.0
ASIL,PVWL,14.0
ASIL,PVWR,18.0
ASIL,RIAL,18.0
ASIL,RIAR,18.0
ASIL,RIBL,14.0
ASIL,RIBR,16.0
ASIL,RICL,15.0
ASIL,RICR,17.0
ASIL,RID,18.0
ASIL,RIFL,15.0
ASIL,RIFR,17.0
ASIL,RIGL,14.0
ASIL,RIGR,16.0
ASIL,RIH,16.0
ASIL,RIML,14.0
ASIL,RIMR,16.0
ASIL,RIPL,18.0
ASIL,RIPR,16.0
ASIL,RIR,16.0
ASIL,RIS,16.0
ASIL,RIVL,14.0
ASIL,RIVR,16.0
ASIL,RMDDL,18.0
ASIL,RMDDR,18.0
ASIL,RMDL,18.0
ASIL,RMDR,16.0
ASIL,RMDVL,18.0
ASIL,RMDVR,18.0
ASIL,RMED,18.0
ASIL,RMEL,18.0
ASIL,RMER,18.0
ASIL,RMEV,14.0
ASIL,RMFL,13.0
ASIL,RMFR,13.0
ASIL,RMGL,12.0
ASIL,RMGR,16.0
ASIL,RMHL,17.0
ASIL,RMHR,17.0
ASIL,SAADL,18.0
ASIL,SAADR,18.0
ASIL,SAAVL,14.0
ASIL,SAAVR,16.0
ASIL,SABD,14.0
ASIL,SABVL,15.0
ASIL,SABVR,17.0
ASIL,SDQL,15.0
ASIL,SDQR,19.0
ASIL,SIADL,14.0
ASIL,SIADR,16.0
ASIL,SIAVL,14.0
ASIL,SIAVR,16.0
ASIL,SIBDL,14.0
ASIL,SIBDR,16.0
ASIL,SIBVL,14.0
ASIL,SIBVR,16.0
ASIL,SMBDL,19.0
ASIL,SMBDR,19.0
ASIL,SMBVL,18.0
ASIL,SMBVR,18.0
ASIL,SMDDL,14.0
ASIL,SMDDR,16.0
ASIL,SMDVL,18.0
ASIL,SMDVR,18.0
ASIL,URADL,10.0
ASIL,URADR,18.0
ASIL,URAVL,14.0
ASIL,URAVR,16.0
ASIL,URBL,6.0
ASIL,URBR,16.0
ASIL,URXL,11.0
ASIL,URXR,19.0
ASIL,URYDL,18.0
ASIL,URYDR,18.0
ASIL,URYVL,14.0
ASIL,URYVR,16.0
ASIL,VA01,17.0
ASIL,VA02,15.0
ASIL,VA03,19.0
ASIL,VA04,15.0
ASIL,VA05,19.0
ASIL,VA06,15.0
ASIL,VA07,19.0
ASIL,VA08,15.0
ASIL,VA09,19.0
ASIL,VA10,15.0
ASIL,VA11,15.0
ASIL,VA12,19.0
ASIL,VB01,19.0
ASIL,VB02,18.0
ASIL,VB03,15.0
ASIL,VB04,19.0
ASIL,VB05,15.0
ASIL,VB06,19.0
ASIL,VB07,15.0
ASIL,VB08,19.0
ASIL,VB09,15.0
ASIL,VB10,19.0
ASIL,VB11,15.0
ASIL,VC01,18.0
ASIL,VC02,14.0
ASIL,VC03,18.0
ASIL,VC04,14.0
ASIL,VC05,18.0
ASIL,VD01,17.0
ASIL,VD02,18.0
ASIL,VD03,14.0
ASIL,VD04,18.0
ASIL,VD05,14.0
ASIL,VD06,18.0
ASIL,VD07,14.0
ASIL,VD08,18.0
ASIL,VD09,14.0
ASIL,VD10,18.0
ASIL,VD11,14.0
ASIL,VD12,14.0
ASIL,VD13,18.0
ASIR,ASJL,19.0
ASIR,ASJR,11.0
ASIR,ASKL,19.0
ASIR,ASKR,11.0
ASIR,AUAL,19.0
ASIR,AUAR,11.0
ASIR,AVAL,18.0
ASIR,AVAR,18.0
ASIR,AVBL,16.0
ASIR,AVBR,14.0
ASIR,AVDL,18.0
ASIR,AVDR,18.0
ASIR,AVEL,18.0
ASIR,AVER,10.0
ASIR,AVFL,14.0
ASIR,AVFR,15.0
ASIR,AVG,14.0
ASIR,AVHL,18.0
ASIR,AVHR,18.0
ASIR,AVJL,18.0
ASIR,AVJR,18.0
ASIR,AVKL,16.0
ASIR,AVKR,14.0
ASIR,AVL,14.0
ASIR,AVM,15.0
ASIR,AWAL,16.0
ASIR,AWAR,4.0
ASIR,AWBL,18.0
ASIR,AWBR,10.0
ASIR,AWCL,16.0
ASIR,AWCR,14.0
ASIR,BAGL,18.0
ASIR,BAGR,18.0
ASIR,BDUL,18.0
ASIR,BDUR,18.0
